x0,x1,x2,x3,x4,x5,x6,x7,label
1.2479,-0.2525,0.3635,-2.4099,-1.1563,-0.2938,-1.0721,0.7144,0
4.4973,1.3234,-0.8375,0.2354,1.6111,-1.2224,0.2490,1.8213,1
0.8482,1.2189,-0.4236,-0.5206,0.8126,0.2417,-1.7750,0.5154,1
-0.5775,1.2744,-0.6276,-0.6366,0.5411,0.7629,0.4481,-1.6856,0
0.5380,-1.0343,0.2353,-1.4237,0.4463,-0.8066,-1.2826,0.7138,0
2.7416,1.8860,1.4512,-0.4407,0.0321,0.2689,-0.6197,0.4711,1
-0.5335,-0.4116,1.3626,-1.0406,-2.4128,1.6109,2.5493,-0.4053,0
0.5632,2.1895,-0.2862,-0.1899,-1.1134,0.5796,0.5245,-1.4944,1
0.6992,2.0527,0.1720,-0.3373,-0.1420,0.6153,-1.7307,0.1644,0
-0.3905,1.8478,-0.1742,1.6679,-1.1037,0.5873,0.3194,-0.8690,0
2.6774,3.7125,-0.3238,-1.6920,-0.0176,-0.9024,-0.3423,-0.0816,1
0.7943,0.8843,0.4821,-0.5227,-2.5647,0.7848,0.2724,-0.7139,1
1.1832,3.3358,0.3494,2.3826,0.4202,0.3877,-0.1669,0.8168,1
3.1251,3.7517,-0.5213,-0.4354,-0.4791,0.7908,1.4984,-0.4588,1
2.0752,2.8141,-0.2458,0.9521,-2.2518,-0.8267,-0.7824,-2.3204,1
1.5364,1.5848,-0.2011,1.1130,-0.2451,-1.0308,-0.0570,1.0492,1
1.5240,1.5894,0.5585,-0.2215,0.6475,-0.0136,0.7017,-1.0351,1
-0.0121,-0.2107,-1.2159,-1.5635,0.6857,-0.3510,-1.0223,-0.0962,0
3.6280,0.2193,-1.4966,-0.9229,1.4612,0.2826,0.7673,-1.1402,1
-1.1195,0.4478,0.0583,0.5487,-0.1877,0.2781,0.1581,0.7778,0
3.3070,0.8801,-2.2473,1.0017,1.1877,-1.0206,-1.8598,0.0990,1
0.9308,1.7976,0.5163,-0.3717,-0.8931,0.0115,-0.2993,-1.0151,0
2.0488,1.7852,1.1360,-0.9209,0.8550,0.6396,0.4425,1.2497,0
3.1354,3.2400,0.6369,0.3408,-1.7836,0.0836,-0.5562,-1.2798,1
